城市,日期,AQI,质量等级,AQI排名,PM2.5,PM10,NO2,SO2,CO,O3
兰州市,2014-01-01,162,中度污染,155,120,214,38,52,1.76,20
兰州市,2014-01-02,128,轻度污染,78,77,154,28,49,1.60,21
兰州市,2014-01-03,101,轻度污染,55,69,141,33,52,1.53,20
兰州市,2014-01-04,122,轻度污染,94,92,164,37,51,1.58,20
兰州市,2014-01-05,116,轻度污染,46,87,162,35,53,1.74,18
兰州市,2014-01-06,98,良,36,62,134,26,38,1.30,36
兰州市,2014-01-07,52,良,6,15,56,26,22,1.26,38
兰州市,2014-01-08,49,优,29,23,55,35,28,1.47,35
兰州市,2014-01-09,84,良,122,53,116,51,43,2.29,25
兰州市,2014-01-10,85,良,56,55,118,47,37,1.69,26
兰州市,2014-01-11,73,良,33,40,94,37,30,1.49,28
兰州市,2014-01-12,82,良,67,50,113,45,44,1.94,22
兰州市,2014-01-13,105,轻度污染,98,74,150,52,45,2.35,21
兰州市,2014-01-14,102,轻度污染,75,74,147,48,55,2.21,24
兰州市,2014-01-15,184,中度污染,119,292,148,51,44,2.27,26
兰州市,2014-01-16,117,轻度污染,57,83,160,61,54,2.11,55
兰州市,2014-01-17,135,轻度污染,62,101,199,53,51,1.99,21
兰州市,2014-01-18,139,轻度污染,74,97,190,47,37,1.98,32
兰州市,2014-01-19,142,轻度污染,81,51,231,27,27,1.30,45
兰州市,2014-01-20,123,轻度污染,81,86,168,50,44,2.36,24
兰州市,2014-01-21,115,轻度污染,145,87,135,55,47,2.28,26
兰州市,2014-01-22,132,轻度污染,144,100,142,68,51,2.79,27
兰州市,2014-01-24,75,良,41,36,99,31,28,1.14,37
兰州市,2014-01-25,73,良,39,49,82,45,37,1.54,33
兰州市,2014-01-26,100,良,112,74,113,55,49,2.62,22
兰州市,2014-01-27,92,良,95,66,103,41,31,2.18,33
兰州市,2014-01-28,71,良,65,51,75,46,37,1.60,37
兰州市,2014-01-29,136,轻度污染,133,85,155,58,42,2.04,41
兰州市,2014-01-30,104,轻度污染,58,71,128,54,44,1.93,45
兰州市,2014-01-31,153,中度污染,49,115,158,56,55,2.28,41
兰州市,2014-02-01,105,轻度污染,82,78,106,52,48,2.05,43
兰州市,2014-02-02,114,轻度污染,74,85,129,46,40,2.25,38
兰州市,2014-02-03,72,良,89,22,94,19,22,0.76,49
兰州市,2014-02-04,69,良,131,37,86,25,30,1.06,36
兰州市,2014-02-05,72,良,139,38,93,15,23,0.82,29
兰州市,2014-02-06,77,良,136,46,103,14,20,0.78,34
兰州市,2014-02-07,106,轻度污染,151,61,160,21,23,1.26,35
兰州市,2014-02-08,93,良,142,66,123,15,23,0.74,45
兰州市,2014-02-09,48,优,78,31,46,12,15,0.58,51
兰州市,2014-02-10,80,良,145,58,72,24,19,1.15,40
兰州市,2014-02-11,87,良,108,64,86,24,20,1.05,41
兰州市,2014-02-12,69,良,42,49,70,19,15,0.75,47
兰州市,2014-02-13,99,良,103,74,94,30,20,1.37,39
兰州市,2014-02-14,118,轻度污染,100,88,111,45,30,1.55,44
兰州市,2014-02-15,103,轻度污染,57,77,102,45,43,1.83,34
兰州市,2014-02-16,92,良,93,68,83,37,29,1.61,35
兰州市,2014-02-17,99,良,127,74,89,45,38,1.48,47
兰州市,2014-02-18,97,良,154,66,101,52,43,2.26,36
兰州市,2014-02-19,79,良,79,53,98,69,49,2.07,31
兰州市,2014-02-20,98,良,91,72,138,71,47,2.73,26
兰州市,2014-02-21,89,良,48,65,109,64,38,1.62,53
兰州市,2014-02-22,99,良,55,74,120,55,33,1.87,45
兰州市,2014-02-23,100,良,57,74,123,51,33,1.91,35
兰州市,2014-02-24,87,良,42,63,103,44,26,1.47,36
兰州市,2014-02-25,105,轻度污染,84,66,135,41,23,1.56,38
