城市,日期,AQI,质量等级,AQI排名,PM2.5,PM10,NO2,SO2,CO,O3
兰州市,2014-01-01,141,轻度污染,155,91,214.0,38.0,38,1.76,20
兰州市,2014-01-02,128,轻度污染,78,77,154.0,28.0,38,1.6,21
兰州市,2014-01-03,101,轻度污染,55,69,141.0,33.0,38,1.53,20
兰州市,2014-01-04,122,轻度污染,94,91,164.0,37.0,38,1.58,20
兰州市,2014-01-05,116,轻度污染,46,87,162.0,35.0,38,1.74,18
兰州市,2014-01-06,98,良,36,62,134.0,26.0,38,1.3,36
兰州市,2014-01-07,52,良,6,15,56.0,26.0,22,1.26,38
兰州市,2014-01-08,49,优,29,23,55.0,35.0,28,1.47,35
兰州市,2014-01-09,84,良,122,53,116.0,51.0,38,2.29,25
兰州市,2014-01-10,85,良,56,55,118.0,47.0,37,1.69,26
兰州市,2014-01-11,73,良,33,40,94.0,37.0,30,1.49,28
兰州市,2014-01-12,82,良,67,50,113.0,45.0,38,1.94,22
兰州市,2014-01-13,105,轻度污染,98,74,150.0,52.0,38,2.35,21
兰州市,2014-01-14,102,轻度污染,75,74,147.0,48.0,38,2.21,24
兰州市,2014-01-15,141,轻度污染,119,91,148.0,51.0,38,2.27,26
兰州市,2014-01-16,117,轻度污染,57,83,160.0,61.0,38,2.11,55
兰州市,2014-01-17,135,轻度污染,62,91,199.0,53.0,38,1.99,21
兰州市,2014-01-18,139,轻度污染,74,91,190.0,47.0,37,1.98,32
兰州市,2014-01-19,141,轻度污染,81,51,214.5,27.0,27,1.3,45
兰州市,2014-01-20,123,轻度污染,81,86,168.0,50.0,38,2.36,24
兰州市,2014-01-21,115,轻度污染,145,87,135.0,55.0,38,2.28,26
兰州市,2014-01-22,132,轻度污染,144,91,142.0,68.0,38,2.79,27
兰州市,2014-01-24,75,良,41,36,99.0,31.0,28,1.14,37
兰州市,2014-01-25,73,良,39,49,82.0,45.0,37,1.54,33
兰州市,2014-01-26,100,良,112,74,113.0,55.0,38,2.62,22
兰州市,2014-01-27,92,良,95,66,103.0,41.0,31,2.18,33
兰州市,2014-01-28,71,良,65,51,75.0,46.0,37,1.6,37
兰州市,2014-01-29,136,轻度污染,133,85,155.0,58.0,38,2.04,41
兰州市,2014-01-30,104,轻度污染,58,71,128.0,54.0,38,1.93,45
兰州市,2014-01-31,141,轻度污染,49,91,158.0,56.0,38,2.28,41
兰州市,2014-02-01,105,轻度污染,82,78,106.0,52.0,38,2.05,43
兰州市,2014-02-02,114,轻度污染,74,85,129.0,46.0,38,2.25,38
兰州市,2014-02-03,72,良,89,22,94.0,19.0,22,0.76,49
兰州市,2014-02-04,69,良,131,37,86.0,25.0,30,1.06,36
兰州市,2014-02-05,72,良,139,38,93.0,15.0,23,0.82,29
兰州市,2014-02-06,77,良,136,46,103.0,14.0,20,0.78,34
兰州市,2014-02-07,106,轻度污染,151,61,160.0,21.0,23,1.26,35
兰州市,2014-02-08,93,良,142,66,123.0,15.0,23,0.74,45
兰州市,2014-02-09,48,优,78,31,46.0,12.0,15,0.58,51
兰州市,2014-02-10,80,良,145,58,72.0,24.0,19,1.15,40
兰州市,2014-02-11,87,良,108,64,86.0,24.0,20,1.05,41
兰州市,2014-02-12,69,良,42,49,70.0,19.0,15,0.75,47
兰州市,2014-02-13,99,良,103,74,94.0,30.0,20,1.37,39
兰州市,2014-02-14,118,轻度污染,100,88,111.0,45.0,30,1.55,44
兰州市,2014-02-15,103,轻度污染,57,77,102.0,45.0,38,1.83,34
兰州市,2014-02-16,92,良,93,68,83.0,37.0,29,1.61,35
兰州市,2014-02-17,99,良,127,74,89.0,45.0,38,1.48,47
兰州市,2014-02-18,97,良,154,66,101.0,52.0,38,2.26,36
兰州市,2014-02-19,79,良,79,53,98.0,69.0,38,2.07,31
兰州市,2014-02-20,98,良,91,72,138.0,71.0,38,2.73,26
兰州市,2014-02-21,89,良,48,65,109.0,64.0,38,1.62,53
