城市,日期,AQI,质量等级,PC1,PC2,聚类,PM2.5,PM10,NO2,SO2,CO,O3
兰州市,2014-01-02,128,轻度污染,4.352832559037939,1.5557431641222945,2,77,154.0,28.0,38,1.6,21
兰州市,2014-01-03,101,轻度污染,3.9017088508297957,0.9533249773988834,2,69,141.0,33.0,38,1.53,20
兰州市,2014-01-04,122,轻度污染,4.371880466005067,0.788959293605429,2,91,164.0,37.0,38,1.58,20
兰州市,2014-01-05,116,轻度污染,4.630275897933574,1.0814458747154014,2,87,162.0,35.0,38,1.74,18
兰州市,2014-01-06,98,良,3.105649101250474,1.107866512427281,2,62,134.0,26.0,38,1.3,36
兰州市,2014-01-07,52,良,0.5155972596677418,-0.06302924466465269,0,15,56.0,26.0,22,1.26,38
兰州市,2014-01-08,49,优,0.5109781365582774,-1.5205893201908607,0,23,55.0,35.0,28,1.47,35
兰州市,2014-01-09,84,良,2.7839139964485184,-1.9471884921700862,2,53,116.0,51.0,38,2.29,25
兰州市,2014-01-10,85,良,2.664199056859323,-0.8217730477701729,2,55,118.0,47.0,37,1.69,26
兰州市,2014-01-11,73,良,1.4176541865993866,-0.7385276183557514,0,40,94.0,37.0,30,1.49,28
兰州市,2014-01-12,82,良,2.334203997401859,-1.4759421171889624,2,50,113.0,45.0,38,1.94,22
兰州市,2014-01-13,105,轻度污染,3.6191925255937627,-1.0700412306916804,2,74,150.0,52.0,38,2.35,21
兰州市,2014-01-14,102,轻度污染,3.8465827621721886,-0.3346149622030534,2,74,147.0,48.0,38,2.21,24
兰州市,2014-01-15,141,轻度污染,4.44927847304512,-0.14386727218329487,2,91,148.0,51.0,38,2.27,26
兰州市,2014-01-16,117,轻度污染,4.618751820360612,1.0355866856481348,2,83,160.0,61.0,38,2.11,55
兰州市,2014-01-17,135,轻度污染,5.113785776132815,0.757970797266666,2,91,199.0,53.0,38,1.99,21
兰州市,2014-01-18,139,轻度污染,5.120835467821559,1.4553831637572465,2,91,190.0,47.0,37,1.98,32
兰州市,2014-01-19,141,轻度污染,3.167371563314598,2.589898158412485,3,51,214.5,27.0,27,1.3,45
兰州市,2014-01-20,123,轻度污染,5.424116732922069,0.9378797726075431,2,86,168.0,50.0,38,2.36,24
兰州市,2014-01-21,115,轻度污染,5.067117603141912,0.29188403007156744,2,87,135.0,55.0,38,2.28,26
兰州市,2014-01-22,132,轻度污染,5.666335398796562,-0.2736702499271482,2,91,142.0,68.0,38,2.79,27
兰州市,2014-01-24,75,良,2.0187223549162465,1.059143051222811,3,36,99.0,31.0,28,1.14,37
兰州市,2014-01-25,73,良,2.3132355237665907,-0.9549147649155147,2,49,82.0,45.0,37,1.54,33
兰州市,2014-01-26,100,良,4.018596715734079,-1.4519655991386087,2,74,113.0,55.0,38,2.62,22
