日期,城市,质量等级,AQI,PM2.5,PM10,NO2,SO2,CO,O3,年份,月份,季节,星期几,是否周末,AQI_lag1,PM2.5_roll7_mean
2014-01-02,兰州市,轻度污染,128,77,154.0,28.0,38,1.6,21,2014,1,冬季,4,0,141.0,84.0
2014-01-03,兰州市,轻度污染,101,69,141.0,33.0,38,1.53,20,2014,1,冬季,5,0,128.0,79.0
2014-01-04,兰州市,轻度污染,122,91,164.0,37.0,38,1.58,20,2014,1,冬季,6,1,101.0,82.0
2014-01-05,兰州市,轻度污染,116,87,162.0,35.0,38,1.74,18,2014,1,冬季,7,1,122.0,83.0
2014-01-06,兰州市,良,98,62,134.0,26.0,38,1.3,36,2014,1,冬季,1,0,116.0,79.5
2014-01-07,兰州市,良,52,15,56.0,26.0,22,1.26,38,2014,1,冬季,2,0,98.0,70.28571428571429
2014-01-08,兰州市,优,49,23,55.0,35.0,28,1.47,35,2014,1,冬季,3,0,52.0,60.57142857142857
2014-01-09,兰州市,良,84,53,116.0,51.0,38,2.29,25,2014,1,冬季,4,0,49.0,57.142857142857146
2014-01-10,兰州市,良,85,55,118.0,47.0,37,1.69,26,2014,1,冬季,5,0,84.0,55.142857142857146
2014-01-11,兰州市,良,73,40,94.0,37.0,30,1.49,28,2014,1,冬季,6,1,85.0,47.85714285714285
2014-01-12,兰州市,良,82,50,113.0,45.0,38,1.94,22,2014,1,冬季,7,1,73.0,42.57142857142857
2014-01-13,兰州市,轻度污染,105,74,150.0,52.0,38,2.35,21,2014,1,冬季,1,0,82.0,44.285714285714285
2014-01-14,兰州市,轻度污染,102,74,147.0,48.0,38,2.21,24,2014,1,冬季,2,0,105.0,52.71428571428572
2014-01-15,兰州市,轻度污染,141,91,148.0,51.0,38,2.27,26,2014,1,冬季,3,0,102.0,62.42857142857143
2014-01-16,兰州市,轻度污染,117,83,160.0,61.0,38,2.11,55,2014,1,冬季,4,0,141.0,66.71428571428571
2014-01-17,兰州市,轻度污染,135,91,199.0,53.0,38,1.99,21,2014,1,冬季,5,0,117.0,71.85714285714286
2014-01-18,兰州市,轻度污染,139,91,190.0,47.0,37,1.98,32,2014,1,冬季,6,1,135.0,79.14285714285714
