n_estimators,max_depth,min_samples_split,RMSE,RMSE_std,MAE,MAE_std,R2,R2_std
50,10,2,2.9427181845288146,0.07662378416214964,1.8432009977307604,0.07874941145025534,0.9882311686202042,0.00036765648664832055
100,10,2,2.9191634893671483,0.07438868967733284,1.8295911473671023,0.07682023190933386,0.9884187189639683,0.0003542665222782479
150,10,2,2.9112112156243435,0.08029252952954981,1.8270713620873233,0.08156255864158854,0.9884812609200887,0.0004057013348740087
200,10,2,2.9128370705418507,0.08212791910387382,1.8286056747279151,0.08158678991113653,0.9884681667367063,0.00042336074960124887
50,10,5,2.9434872566057164,0.07731489682361482,1.8439950255945436,0.07767504079684781,0.9882252535141344,0.0003645277662642465
100,10,5,2.9260888298841885,0.07319850642641669,1.8358974701229318,0.07700802831700743,0.9883638710777258,0.0003412267561139282
150,10,5,2.918987705058521,0.07902375479173435,1.8346121018038855,0.07655467718862664,0.9884196892111516,0.0003971316098568443
200,10,5,2.919994761958626,0.08158992810234492,1.8345827013195024,0.07766693423347303,0.9884114130204891,0.0004212161320304819
50,10,8,2.9786628429891855,0.08777828010817582,1.867947557626436,0.07320726377353429,0.9879417495705523,0.00044814997507390054
100,10,8,2.9675667954458365,0.08329799079090452,1.861658871435559,0.0736137886523147,0.9880313149686056,0.0004209387037401427
150,10,8,2.958812224266368,0.08477890589385453,1.8600063558049211,0.07500585717830452,0.9881016277434688,0.0004352757160389113
200,10,8,2.959393189772456,0.08451776308631748,1.8599760785709982,0.07566805435116357,0.9880967483932341,0.00043940847773964983
50,15,2,2.8936172638333675,0.08674805325821598,1.8021438458649606,0.08146039346646687,0.988620262975165,0.00043708565153597505
100,15,2,2.8772534063749737,0.07524897032676858,1.7918340799094892,0.07955196854442631,0.9887488433432152,0.0003567690921919004
150,15,2,2.8681198268489174,0.07864316604891758,1.789267109205817,0.07957173400530639,0.9888196512159622,0.00039262577291736495
200,15,2,2.868955154825887,0.07851969216705398,1.7911806629363336,0.08033871785220602,0.9888130411784057,0.00039462126435220614
50,15,5,2.9101437692018175,0.07661265884939748,1.815665295944396,0.07790639893410153,0.9884907862634593,0.0003485972501024956
100,15,5,2.892280426308195,0.07547310355789381,1.8036530601808827,0.08073733717993405,0.9886312471559163,0.0003525979437301162
150,15,5,2.8850123012283784,0.07852585022483381,1.8023956551197031,0.08257873345603638,0.9886881302866326,0.0003777056812278933
200,15,5,2.887578277591712,0.0790201824260267,1.8044103374858067,0.08338320835545086,0.9886677120785092,0.00038942305779619704
50,15,8,2.948512139834935,0.09077019824069137,1.8394216466320312,0.07486306355359809,0.9881845381754619,0.0004657451329436994
100,15,8,2.9367812558995094,0.08724618639222788,1.8326108005507944,0.07725487671156885,0.9882784431242199,0.00044042882456898983
150,15,8,2.926971789257069,0.08569331089722881,1.8311405406442745,0.07696237922039331,0.9883564542940295,0.0004337639100264362
200,15,8,2.929044171708152,0.08441708478424088,1.8321853591603987,0.07807017606120152,0.9883399347623115,0.00042679115676272513
50,20,2,2.888564000965583,0.08860397675142143,1.8003819281605602,0.08116352626970187,0.988658725830122,0.00047627142288988214
100,20,2,2.8743512735317323,0.07750297387641153,1.788654137563165,0.08263282916014694,0.9887712775527919,0.0003781703255157608
150,20,2,2.8688542961983496,0.0804989652541442,1.7872253145875299,0.08040095315934633,0.988813990099034,0.00040204397580751345
200,20,2,2.8711113541961986,0.0805459723540245,1.7890034318535974,0.08092782778886146,0.9887963054389661,0.0004045239603980221
50,20,5,2.906917288888116,0.07641603197841758,1.8113528630577054,0.07852246218072459,0.9885160848680368,0.0003533130047947511
100,20,5,2.888861823448234,0.0766593317373258,1.8019113345931785,0.0825564245193822,0.9886580447492301,0.0003619431221450152
150,20,5,2.883034311171779,0.07935663983161352,1.8023985749206932,0.08179974271988438,0.9887034372828424,0.0003884342270296395
200,20,5,2.8854455073744467,0.08094543816500333,1.8045880725838033,0.08186871616629289,0.9886843243143033,0.000404481830724074
50,20,8,2.943008954741838,0.0861331794621144,1.8371582467041887,0.07062718553819322,0.9882284672214918,0.00043901490910945205
100,20,8,2.933368222824953,0.08307527241847501,1.8313931201478475,0.07561272935756226,0.9883056210543298,0.0004147310829568233
150,20,8,2.9255187001999223,0.08345579375530827,1.830880902645027,0.07638007268075413,0.9883680116679032,0.0004195539762681443
200,20,8,2.927624403232413,0.0826035045569319,1.832059701101037,0.07713593149536722,0.9883512840263563,0.0004139349368551705
50,25,2,2.8959228642374457,0.09206804506423594,1.8038037357761953,0.07853311950799406,0.9886010620708877,0.0004927445104133707
100,25,2,2.8771365064339367,0.0779226337406254,1.7900236224908024,0.08311594389077118,0.9887496015514108,0.0003784050862427052
150,25,2,2.8710990830143386,0.08061931665005376,1.7884372870557066,0.08160430999434402,0.9887965210037117,0.000401989962526478
200,25,2,2.871850221069554,0.08024636596809032,1.7895174264674458,0.08331888071038457,0.9887905597562752,0.00040254288636225105
50,25,5,2.906141286134715,0.07768975622983894,1.8103759855965227,0.0803087009015204,0.988522237870398,0.0003612606078289384
100,25,5,2.8883329036094927,0.07734970554894871,1.7998081795823988,0.08498362634516712,0.9886622524503894,0.00036493330162975634
150,25,5,2.883106887414769,0.07994409425462812,1.8011458789010697,0.08287747066881179,0.9887028744554032,0.00039188762198075444
200,25,5,2.8849173019604257,0.08278320965466106,1.8032770589776443,0.08285482885696031,0.9886883507943551,0.0004185823435160023
50,25,8,2.94372488737683,0.08776531271801319,1.8365786596384013,0.0707367673329967,0.988222650814435,0.000451523998394601
100,25,8,2.932571270755345,0.08314944272087067,1.8303372731631922,0.07548427601135878,0.9883119867170684,0.00041473243325066593
150,25,8,2.924328487942199,0.08319312555253912,1.8298343282109044,0.07650376222081237,0.9883774886024714,0.00041738132176144917
200,25,8,2.9268078296980007,0.08257532354914654,1.8311539954264493,0.07709463879159532,0.9883577609025629,0.00041422015178983827
