PM2.5,AQI
91,141
77,128
69,101
91,122
87,116
62,98
15,52
23,49
53,84
55,85
40,73
50,82
74,105
74,102
91,141
83,117
91,135
91,139
51,141
86,123
87,115
91,132
36,75
49,73
74,100
66,92
51,71
85,136
71,104
91,141
78,105
85,114
22,72
37,69
38,72
46,77
61,106
66,93
31,48
58,80
64,87
49,69
74,99
88,118
77,103
68,92
74,99
66,97
53,79
72,98
65,89
74,99
74,100
63,87
66,105
91,141
40,93
32,92
41,94
40,85
42,88
29,86
38,105
41,94
47,88
62,105
69,109
64,101
33,91
27,85
44,94
64,120
79,130
66,114
46,107
66,130
65,141
28,80
37,88
30,65
38,69
77,127
69,134
63,122
52,100
67,110
45,72
58,86
51,91
31,62
34,68
54,88
45,82
41,74
65,110
65,121
48,69
58,109
52,80
46,77
43,81
30,66
35,60
24,44
38,64
28,44
28,45
40,57
22,43
47,82
57,96
91,141
91,141
91,141
80,141
62,132
80,141
91,141
45,101
44,101
56,120
35,93
37,83
56,108
58,107
54,105
91,141
41,69
47,74
49,84
49,92
33,73
33,68
38,85
43,77
61,111
30,56
60,103
34,68
30,66
43,76
91,141
91,141
74,125
55,85
61,96
53,88
33,66
41,70
55,83
62,85
61,84
51,78
42,80
37,72
53,92
40,74
34,64
44,68
56,82
45,66
59,81
85,115
52,83
36,74
50,93
48,74
40,59
45,75
53,89
41,82
40,68
37,62
79,106
63,92
61,97
41,60
42,69
54,77
53,78
57,86
38,59
53,84
44,78
42,68
68,107
42,60
32,47
39,59
48,85
48,90
41,68
43,73
43,73
36,68
39,69
36,61
40,58
29,49
38,63
37,54
44,65
60,85
54,95
45,82
36,60
38,72
44,80
50,80
47,74
41,71
70,105
44,72
34,51
62,84
26,39
43,70
47,81
50,91
37,55
35,55
33,60
36,68
49,84
42,78
33,64
49,86
39,79
44,72
67,91
53,79
40,67
46,81
45,69
49,91
31,60
34,57
32,52
43,73
36,62
36,66
46,88
48,86
38,69
42,62
43,64
76,105
90,123
34,62
30,44
50,74
77,121
37,55
29,49
23,41
36,61
54,82
47,82
34,75
27,51
25,42
43,62
58,89
35,68
47,77
62,94
50,75
56,90
33,64
36,65
59,99
51,92
29,60
43,77
39,72
49,75
59,85
33,57
45,76
12,29
28,41
50,71
79,107
59,92
55,81
91,134
91,124
47,76
49,74
40,64
59,89
71,98
70,98
55,81
63,86
46,68
21,41
46,70
25,43
22,39
26,46
58,86
91,129
79,106
83,111
91,122
75,101
77,104
44,65
41,79
44,81
31,67
84,118
71,98
40,81
73,108
87,119
91,122
86,117
75,111
79,106
72,97
54,78
72,97
91,141
65,94
23,43
75,101
59,83
21,56
79,113
82,111
30,70
69,105
91,141
63,92
71,113
91,123
33,67
54,106
36,95
54,95
91,125
84,138
40,104
65,97
91,141
91,141
84,112
49,77
42,66
91,138
91,141
79,106
88,118
91,141
91,141
91,141
91,141
81,111
34,69
91,134
91,141
91,141
56,92
17,48
34,59
46,67
64,91
88,117
81,109
87,118
91,127
69,94
70,96
31,64
68,99
57,88
50,80
63,91
64,91
53,90
79,110
88,118
45,87
73,101
33,78
31,62
38,70
32,78
38,67
61,83
66,90
59,81
67,91
42,60
58,80
65,90
42,72
55,86
68,95
68,95
54,84
58,86
53,80
80,141
29,77
45,78
48,76
65,92
91,124
35,77
27,68
30,67
37,75
29,52
57,130
38,74
43,106
18,45
46,71
61,141
76,141
52,113
59,93
57,85
42,74
35,88
