PM2.5,PM10
91,214.0
77,154.0
69,141.0
91,164.0
87,162.0
62,134.0
15,56.0
23,55.0
53,116.0
55,118.0
40,94.0
50,113.0
74,150.0
74,147.0
91,148.0
83,160.0
91,199.0
91,190.0
51,214.5
86,168.0
87,135.0
91,142.0
36,99.0
49,82.0
74,113.0
66,103.0
51,75.0
85,155.0
71,128.0
91,158.0
78,106.0
85,129.0
22,94.0
37,86.0
38,93.0
46,103.0
61,160.0
66,123.0
31,46.0
58,72.0
64,86.0
49,70.0
74,94.0
88,111.0
77,102.0
68,83.0
74,89.0
66,101.0
53,98.0
72,138.0
65,109.0
74,120.0
74,123.0
63,103.0
66,135.0
91,184.0
40,135.0
32,133.0
41,136.0
40,118.0
42,123.0
29,121.0
38,147.0
41,124.0
47,102.0
62,146.0
69,164.0
64,148.0
33,131.0
27,120.0
44,137.0
64,189.0
79,204.0
66,172.0
46,163.0
66,208.0
65,214.5
28,110.0
37,125.0
30,80.0
38,86.0
77,201.0
69,214.5
63,193.0
52,149.0
67,169.0
45,89.0
58,116.0
51,128.0
31,74.0
34,86.0
54,125.0
45,112.0
41,96.0
65,167.0
65,186.0
48,77.0
58,167.0
52,106.0
46,103.0
43,110.0
30,81.0
35,67.0
24,45.0
38,77.0
28,42.0
28,44.0
40,57.0
22,45.0
47,112.0
57,141.0
91,214.5
91,214.5
91,214.5
80,214.5
62,212.0
80,214.5
91,214.5
45,134.0
44,151.0
56,188.0
35,134.0
37,115.0
56,165.0
58,163.0
54,158.0
91,214.5
41,91.0
47,82.0
49,110.0
49,132.0
33,90.0
33,83.0
38,117.0
43,104.0
61,165.0
30,63.0
60,149.0
34,85.0
30,80.0
43,96.0
91,214.5
91,214.5
74,199.0
55,111.0
61,134.0
53,122.0
33,83.0
41,84.0
55,101.0
62,86.0
61,90.0
51,97.0
42,108.0
37,93.0
53,131.0
40,96.0
34,76.0
44,79.0
56,106.0
45,74.0
59,72.0
85,126.0
52,109.0
36,96.0
50,132.0
48,92.0
40,60.0
45,95.0
53,122.0
41,113.0
40,83.0
37,66.0
79,117.0
63,112.0
61,141.0
41,56.0
42,80.0
54,86.0
53,92.0
57,113.0
38,65.0
53,111.0
44,102.0
42,84.0
68,161.0
42,58.0
32,39.0
39,64.0
48,118.0
48,130.0
41,82.0
43,94.0
43,93.0
36,83.0
39,87.0
36,69.0
40,60.0
29,50.0
38,73.0
37,51.0
44,63.0
60,95.0
54,135.0
45,112.0
36,68.0
38,92.0
44,108.0
50,109.0
47,95.0
41,91.0
70,157.0
44,92.0
34,51.0
62,81.0
26,36.0
43,88.0
47,108.0
50,126.0
37,58.0
35,54.0
33,70.0
36,84.0
49,116.0
42,102.0
33,77.0
49,116.0
39,104.0
44,91.0
67,104.0
53,99.0
40,81.0
46,107.0
45,82.0
49,129.0
31,70.0
34,63.0
32,53.0
43,93.0
36,76.0
36,80.0
46,120.0
48,119.0
38,86.0
42,67.0
43,70.0
76,126.0
90,126.0
34,75.0
30,40.0
50,90.0
77,186.0
37,61.0
29,49.0
23,39.0
36,71.0
54,108.0
47,107.0
34,98.0
27,54.0
25,40.0
43,66.0
58,119.0
35,85.0
47,100.0
62,126.0
50,83.0
56,128.0
33,76.0
36,78.0
59,144.0
51,132.0
29,73.0
43,101.0
39,91.0
49,93.0
59,101.0
33,64.0
45,91.0
12,22.0
28,39.0
50,80.0
79,134.0
59,127.0
55,98.0
91,136.0
91,132.0
47,98.0
49,97.0
40,73.0
59,120.0
71,132.0
70,126.0
55,105.0
63,103.0
46,78.0
21,45.0
46,85.0
25,41.0
22,37.0
26,46.0
58,115.0
91,166.0
79,129.0
83,135.0
91,150.0
75,122.0
77,119.0
44,70.0
41,106.0
44,110.0
31,82.0
84,159.0
71,140.0
40,109.0
73,161.0
87,170.0
91,167.0
86,156.0
75,155.0
79,132.0
72,115.0
54,99.0
72,100.0
91,172.0
65,110.0
23,41.0
75,118.0
59,91.0
21,60.0
79,156.0
82,164.0
30,88.0
69,143.0
91,204.0
63,104.0
71,165.0
91,145.0
33,82.0
54,159.0
36,139.0
54,136.0
91,181.0
84,197.0
40,143.0
65,120.0
91,159.0
91,212.0
84,134.0
49,95.0
42,75.0
91,155.0
91,163.0
79,118.0
88,136.0
91,165.0
91,189.0
91,214.5
91,173.0
81,136.0
34,85.0
91,164.0
91,179.0
91,212.0
56,111.0
17,52.0
34,66.0
46,79.0
64,115.0
88,138.0
81,133.0
87,149.0
91,161.0
69,108.0
70,111.0
31,75.0
68,132.0
57,114.0
50,101.0
63,118.0
64,120.0
53,124.0
79,146.0
88,152.0
45,120.0
73,137.0
33,103.0
31,72.0
38,87.0
32,104.0
38,77.0
61,73.0
66,81.0
59,75.0
67,98.0
42,52.0
58,76.0
65,96.0
42,91.0
55,116.0
68,131.0
68,120.0
54,111.0
58,114.0
53,103.0
80,214.5
29,103.0
45,103.0
48,100.0
65,120.0
91,138.0
35,102.0
27,84.0
30,81.0
37,98.0
29,57.0
57,208.0
38,97.0
43,160.0
18,45.0
46,83.0
61,214.5
76,214.5
52,175.0
59,123.0
57,112.0
42,96.0
35,123.0
47,186.0
42,132.0
52,146.0
71,199.0
42,162.0
54,214.5
67,214.5
59,199.0
73,214.5
46,150.0
32,81.0
35,112.0
60,171.0
64,163.0
47,93.0
34,65.0
37,95.0
40,105.0
47,150.0
51,179.0
55,119.0
38,102.0
48,143.0
62,146.0
90,214.5
53,172.0
55,178.0
22,81.0
25,46.0
23,50.0
26,53.0
30,60.0
43,106.0
33,133.0
40,175.0
35,140.0
42,159.0
66,214.5
90,214.5
72,214.5
40,129.0
22,65.0
26,60.0
30,63.0
49,126.0
31,87.0
52,140.0
40,85.0
37,88.0
53,120.0
50,111.0
42,93.0
57,133.0
38,68.0
34,83.0
22,40.0
30,76.0
35,84.0
60,170.0
56,147.0
43,113.0
36,87.0
60,185.0
37,105.0
44,152.0
49,150.0
50,164.0
54,165.0
47,132.0
51,134.0
91,214.5
64,189.0
25,53.0
32,52.0
47,98.0
31,71.0
33,96.0
23,77.0
33,98.0
88,214.5
22,48.0
27,72.0
30,77.0
34,116.0
79,214.5
47,177.0
26,89.0
17,52.0
39,127.0
32,107.0
35,109.0
37,111.0
55,162.0
66,203.0
41,144.0
27,89.0
30,93.0
25,87.0
28,85.0
31,93.0
38,110.0
33,99.0
32,75.0
38,66.0
45,95.0
37,88.0
36,63.0
37,76.0
48,87.0
29,81.0
17,51.0
37,98.0
76,214.5
53,144.0
44,104.0
45,71.0
63,88.0
88,122.0
47,67.0
48,109.0
38,103.0
39,69.0
33,45.0
38,93.0
36,80.0
53,105.0
41,99.0
40,79.0
38,93.0
39,95.0
46,92.0
37,93.0
40,129.0
30,87.0
32,78.0
37,82.0
25,53.0
42,107.0
45,126.0
43,104.0
43,94.0
42,81.0
47,91.0
51,89.0
48,83.0
51,96.0
35,82.0
41,60.0
36,61.0
35,81.0
31,77.0
25,74.0
24,43.0
19,36.0
26,56.0
27,75.0
29,74.0
46,136.0
29,69.0
33,102.0
62,214.5
56,177.0
43,89.0
36,83.0
36,100.0
24,68.0
37,117.0
30,72.0
32,90.0
34,107.0
32,91.0
28,68.0
33,82.0
38,102.0
37,102.0
28,69.0
28,64.0
29,54.0
33,45.0
26,43.0
33,94.0
32,91.0
27,65.0
29,36.0
20,24.0
18,31.0
26,59.0
28,65.0
27,70.0
38,99.0
26,67.0
35,71.0
39,99.0
40,100.0
41,101.0
25,59.0
42,117.0
28,61.0
53,115.0
53,79.0
49,163.0
57,140.0
33,67.0
30,59.0
46,71.0
40,114.0
40,170.0
39,115.0
39,142.0
43,122.0
35,110.0
29,80.0
47,140.0
27,87.0
36,102.0
34,106.0
33,103.0
42,115.0
41,83.0
42,110.0
60,145.0
48,108.0
23,75.0
45,108.0
61,157.0
58,146.0
24,64.0
24,48.0
45,79.0
35,57.0
29,51.0
20,47.0
49,88.0
68,115.0
25,64.0
31,70.0
40,57.0
71,131.0
51,102.0
37,74.0
24,95.0
35,96.0
32,48.0
38,87.0
64,132.0
83,143.0
68,116.0
56,92.0
47,78.0
61,128.0
39,95.0
44,146.0
41,144.0
40,101.0
69,110.0
63,114.0
