年份,行,列,相关性
2014,AQI,AQI,1.0
2014,AQI,PM2.5,0.8953111820903031
2014,AQI,PM10,0.9444342476327583
2014,AQI,NO2,0.5611374984317108
2014,AQI,SO2,0.6348183347927373
2014,AQI,CO,0.6113501726335695
2014,AQI,O3,-0.27526855525180766
2014,PM2.5,AQI,0.8953111820903031
2014,PM2.5,PM2.5,1.0
2014,PM2.5,PM10,0.7609786361946981
2014,PM2.5,NO2,0.5525593889051265
2014,PM2.5,SO2,0.6036281805704407
2014,PM2.5,CO,0.7167282763544254
2014,PM2.5,O3,-0.41097347692791236
2014,PM10,AQI,0.9444342476327583
2014,PM10,PM2.5,0.7609786361946981
2014,PM10,PM10,1.0
2014,PM10,NO2,0.5445224774463817
2014,PM10,SO2,0.5957743145667196
2014,PM10,CO,0.4939840729239623
2014,PM10,O3,-0.20835404225562876
2014,NO2,AQI,0.5611374984317108
2014,NO2,PM2.5,0.5525593889051265
2014,NO2,PM10,0.5445224774463817
2014,NO2,NO2,1.0
2014,NO2,SO2,0.7036661081418073
2014,NO2,CO,0.7282627192389312
2014,NO2,O3,-0.32577980632560416
2014,SO2,AQI,0.6348183347927373
2014,SO2,PM2.5,0.6036281805704407
2014,SO2,PM10,0.5957743145667196
2014,SO2,NO2,0.7036661081418073
2014,SO2,SO2,1.0
2014,SO2,CO,0.7305150631705525
2014,SO2,O3,-0.31287245444570483
2014,CO,AQI,0.6113501726335695
2014,CO,PM2.5,0.7167282763544254
2014,CO,PM10,0.4939840729239623
2014,CO,NO2,0.7282627192389312
2014,CO,SO2,0.7305150631705525
2014,CO,CO,1.0
2014,CO,O3,-0.5509416599236824
2014,O3,AQI,-0.27526855525180766
2014,O3,PM2.5,-0.41097347692791236
2014,O3,PM10,-0.20835404225562876
2014,O3,NO2,-0.32577980632560416
2014,O3,SO2,-0.31287245444570483
2014,O3,CO,-0.5509416599236824
2014,O3,O3,1.0
2015,AQI,AQI,1.0
2015,AQI,PM2.5,0.8531495630764346
2015,AQI,PM10,0.9703229978800043
2015,AQI,NO2,0.5354947983289492
