日期,PM2.5,PM10,NO2,SO2,CO,O3
2014-01-01,91,214.0,38.0,38,1.76,20
2014-01-02,77,154.0,28.0,38,1.6,21
2014-01-03,69,141.0,33.0,38,1.53,20
2014-01-04,91,164.0,37.0,38,1.58,20
2014-01-05,87,162.0,35.0,38,1.74,18
2014-01-06,62,134.0,26.0,38,1.3,36
2014-01-07,15,56.0,26.0,22,1.26,38
2014-01-08,23,55.0,35.0,28,1.47,35
2014-01-09,53,116.0,51.0,38,2.29,25
2014-01-10,55,118.0,47.0,37,1.69,26
2014-01-11,40,94.0,37.0,30,1.49,28
2014-01-12,50,113.0,45.0,38,1.94,22
2014-01-13,74,150.0,52.0,38,2.35,21
2014-01-14,74,147.0,48.0,38,2.21,24
2014-01-15,91,148.0,51.0,38,2.27,26
2014-01-16,83,160.0,61.0,38,2.11,55
2014-01-17,91,199.0,53.0,38,1.99,21
2014-01-18,91,190.0,47.0,37,1.98,32
2014-01-19,51,214.5,27.0,27,1.3,45
2014-01-20,86,168.0,50.0,38,2.36,24
2014-01-21,87,135.0,55.0,38,2.28,26
2014-01-22,91,142.0,68.0,38,2.79,27
2014-01-24,36,99.0,31.0,28,1.14,37
2014-01-25,49,82.0,45.0,37,1.54,33
2014-01-26,74,113.0,55.0,38,2.62,22
2014-01-27,66,103.0,41.0,31,2.18,33
2014-01-28,51,75.0,46.0,37,1.6,37
2014-01-29,85,155.0,58.0,38,2.04,41
2014-01-30,71,128.0,54.0,38,1.93,45
2014-01-31,91,158.0,56.0,38,2.28,41
2014-02-01,78,106.0,52.0,38,2.05,43
2014-02-02,85,129.0,46.0,38,2.25,38
2014-02-03,22,94.0,19.0,22,0.76,49
2014-02-04,37,86.0,25.0,30,1.06,36
2014-02-05,38,93.0,15.0,23,0.82,29
2014-02-06,46,103.0,14.0,20,0.78,34
2014-02-07,61,160.0,21.0,23,1.26,35
2014-02-08,66,123.0,15.0,23,0.74,45
2014-02-09,31,46.0,12.0,15,0.58,51
2014-02-10,58,72.0,24.0,19,1.15,40
2014-02-11,64,86.0,24.0,20,1.05,41
2014-02-12,49,70.0,19.0,15,0.75,47
2014-02-13,74,94.0,30.0,20,1.37,39
2014-02-14,88,111.0,45.0,30,1.55,44
2014-02-15,77,102.0,45.0,38,1.83,34
2014-02-16,68,83.0,37.0,29,1.61,35
2014-02-17,74,89.0,45.0,38,1.48,47
2014-02-18,66,101.0,52.0,38,2.26,36
2014-02-19,53,98.0,69.0,38,2.07,31
2014-02-20,72,138.0,71.0,38,2.73,26
2014-02-21,65,109.0,64.0,38,1.62,53
2014-02-22,74,120.0,55.0,33,1.87,45
2014-02-23,74,123.0,51.0,33,1.91,35
2014-02-24,63,103.0,44.0,26,1.47,36
2014-02-25,66,135.0,41.0,23,1.56,38
2014-02-26,91,184.0,21.0,15,0.56,64
2014-02-27,40,135.0,56.0,25,1.34,27
2014-02-28,32,133.0,26.0,20,0.72,57
2014-03-01,41,136.0,42.0,29,1.19,53
2014-03-02,40,118.0,37.0,22,0.85,53
2014-03-03,42,123.0,34.0,18,1.03,47
2014-03-04,29,121.0,39.0,20,0.82,50
2014-03-05,38,147.0,40.0,25,0.78,66
2014-03-06,41,124.0,44.0,34,0.96,86
2014-03-07,47,102.0,34.0,24,1.06,92
2014-03-08,62,146.0,56.0,30,1.45,97
2014-03-09,69,164.0,73.0,38,1.95,38
2014-03-10,64,148.0,60.0,35,1.65,31
2014-03-11,33,131.0,26.0,21,0.78,45
2014-03-12,27,120.0,18.0,18,0.47,55
2014-03-13,44,137.0,56.0,31,1.01,34
2014-03-14,64,189.0,75.0,38,1.76,30
2014-03-15,79,204.0,87.0,38,2.23,33
2014-03-16,66,172.0,64.0,38,1.72,40
2014-03-17,46,163.0,42.0,24,0.96,41
2014-03-18,66,208.0,56.0,35,1.41,49
2014-03-19,65,214.5,33.0,29,0.63,62
2014-03-20,28,110.0,32.0,23,0.61,40
2014-03-21,37,125.0,46.0,22,1.07,39
2014-03-22,30,80.0,30.0,14,1.02,29
2014-03-23,38,86.0,43.0,21,1.5,28
2014-03-25,77,201.0,64.0,38,1.88,18
2014-03-26,69,214.5,59.0,36,1.73,25
2014-03-27,63,193.0,30.0,17,0.87,30
2014-03-28,52,149.0,40.0,23,0.95,28
2014-03-29,67,169.0,65.0,36,1.41,24
2014-03-30,45,89.0,31.0,19,0.9,28
2014-03-31,58,116.0,51.0,24,1.81,25
2014-04-01,51,128.0,50.0,36,1.51,37
2014-04-02,31,74.0,29.0,30,0.79,63
2014-04-03,34,86.0,36.0,30,1.0,44
2014-04-04,54,125.0,59.0,38,1.38,41
2014-04-05,45,112.0,53.0,31,1.46,37
2014-04-06,41,96.0,52.0,23,1.11,36
2014-04-07,65,167.0,73.0,38,1.68,44
2014-04-08,65,186.0,68.0,35,1.5,49
2014-04-09,48,77.0,33.0,21,1.15,48
2014-04-10,58,167.0,61.0,31,1.34,35
2014-04-11,52,106.0,37.0,18,1.02,44
2014-04-12,46,103.0,50.0,23,1.36,32
2014-04-13,43,110.0,56.0,28,1.31,37
2014-04-14,30,81.0,39.0,24,1.28,42
2014-04-15,35,67.0,56.0,27,1.58,31
2014-04-16,24,45.0,26.0,20,1.09,45
2014-04-17,38,77.0,28.0,25,1.02,36
2014-04-18,28,42.0,29.0,17,1.0,33
2014-04-19,28,44.0,34.0,17,1.06,38
2014-04-20,40,57.0,39.0,19,1.17,27
2014-04-21,22,45.0,41.0,14,1.17,34
2014-04-22,47,112.0,67.0,26,1.92,43
2014-04-23,57,141.0,64.0,28,1.67,33
2014-04-24,91,214.5,37.0,19,1.07,32
2014-04-25,91,214.5,41.0,18,1.23,36
2014-04-26,91,214.5,56.0,35,1.72,26
2014-04-27,80,214.5,51.0,37,1.66,37
2014-04-28,62,212.0,55.0,31,1.22,45
2014-04-29,80,214.5,80.0,38,1.76,43
2014-04-30,91,214.5,72.0,38,1.79,40
2014-05-01,45,134.0,22.0,12,0.8,60
2014-05-02,44,151.0,51.0,20,1.28,43
2014-05-03,56,188.0,61.0,24,1.15,36
2014-05-04,35,134.0,53.0,23,1.24,42
2014-05-05,37,115.0,67.0,36,1.6,45
2014-05-06,56,165.0,78.0,38,1.77,39
2014-05-07,58,163.0,73.0,38,1.75,49
2014-05-08,54,158.0,70.0,35,1.49,59
2014-05-09,91,214.5,21.0,11,0.93,59
2014-05-10,41,91.0,25.0,10,1.11,55
2014-05-11,47,82.0,60.0,29,2.03,61
2014-05-12,49,110.0,62.0,38,1.67,58
2014-05-13,49,132.0,37.0,23,1.07,76
2014-05-14,33,90.0,24.0,16,0.81,77
2014-05-15,33,83.0,57.0,34,1.42,53
2014-05-16,38,117.0,67.0,38,1.48,57
2014-05-17,43,104.0,67.0,38,1.22,44
2014-05-18,61,165.0,50.0,33,1.33,46
2014-05-19,30,63.0,44.0,21,1.14,58
2014-05-20,60,149.0,72.0,38,1.52,56
2014-05-21,34,85.0,36.0,29,1.03,51
2014-05-22,30,80.0,31.0,16,1.08,51
2014-05-23,43,96.0,33.0,21,1.18,48
2014-05-24,91,214.5,33.0,10,0.95,51
2014-05-25,91,214.5,43.0,20,0.91,59
2014-05-26,74,199.0,56.0,29,1.52,65
2014-05-27,55,111.0,56.0,27,1.29,61
2014-05-28,61,134.0,68.0,34,1.56,46
2014-05-29,53,122.0,46.0,35,1.59,53
2014-05-30,33,83.0,36.0,17,1.15,49
2014-05-31,41,84.0,37.0,27,1.51,64
2014-06-01,55,101.0,26.0,27,1.67,60
2014-06-02,62,86.0,16.0,16,1.33,64
2014-06-03,61,90.0,16.0,15,1.21,45
2014-06-04,51,97.0,28.0,18,1.36,47
2014-06-05,42,108.0,26.0,17,1.55,53
2014-06-06,37,93.0,15.0,11,1.25,74
2014-06-07,53,131.0,44.0,31,1.44,45
2014-06-08,40,96.0,24.0,17,0.73,67
2014-06-09,34,76.0,26.0,15,0.8,54
2014-06-10,44,79.0,34.0,21,1.12,46
2014-06-11,56,106.0,37.0,19,1.01,52
