季节,AQI
冬季,141
冬季,128
冬季,101
冬季,122
冬季,116
冬季,98
冬季,52
冬季,49
冬季,84
冬季,85
冬季,73
冬季,82
冬季,105
冬季,102
冬季,141
冬季,117
冬季,135
冬季,139
冬季,141
冬季,123
冬季,115
冬季,132
冬季,75
冬季,73
冬季,100
冬季,92
冬季,71
冬季,136
冬季,104
冬季,141
冬季,105
冬季,114
冬季,72
冬季,69
冬季,72
冬季,77
冬季,106
冬季,93
冬季,48
冬季,80
冬季,87
冬季,69
冬季,99
冬季,118
冬季,103
冬季,92
冬季,99
冬季,97
冬季,79
冬季,98
冬季,89
冬季,99
冬季,100
冬季,87
冬季,105
冬季,141
冬季,93
冬季,92
春季,94
春季,85
春季,88
春季,86
春季,105
春季,94
春季,88
春季,105
春季,109
春季,101
春季,91
春季,85
春季,94
春季,120
春季,130
春季,114
春季,107
春季,130
春季,141
春季,80
春季,88
春季,65
春季,69
春季,127
春季,134
春季,122
春季,100
春季,110
春季,72
春季,86
春季,91
春季,62
春季,68
春季,88
春季,82
春季,74
春季,110
春季,121
春季,69
春季,109
春季,80
春季,77
春季,81
春季,66
春季,60
春季,44
春季,64
春季,44
春季,45
春季,57
春季,43
春季,82
春季,96
春季,141
春季,141
春季,141
春季,141
春季,132
春季,141
春季,141
春季,101
春季,101
春季,120
春季,93
春季,83
春季,108
春季,107
春季,105
春季,141
春季,69
春季,74
春季,84
春季,92
春季,73
春季,68
春季,85
春季,77
春季,111
春季,56
春季,103
春季,68
春季,66
春季,76
春季,141
春季,141
春季,125
春季,85
春季,96
春季,88
春季,66
春季,70
夏季,83
夏季,85
夏季,84
夏季,78
夏季,80
夏季,72
夏季,92
夏季,74
夏季,64
夏季,68
夏季,82
夏季,66
夏季,81
夏季,115
夏季,83
夏季,74
夏季,93
夏季,74
夏季,59
夏季,75
夏季,89
夏季,82
夏季,68
夏季,62
夏季,106
夏季,92
夏季,97
夏季,60
夏季,69
夏季,77
夏季,78
夏季,86
夏季,59
夏季,84
夏季,78
夏季,68
夏季,107
夏季,60
夏季,47
夏季,59
夏季,85
夏季,90
夏季,68
夏季,73
夏季,73
夏季,68
夏季,69
夏季,61
夏季,58
夏季,49
夏季,63
夏季,54
夏季,65
夏季,85
夏季,95
夏季,82
夏季,60
夏季,72
夏季,80
夏季,80
夏季,74
夏季,71
夏季,105
夏季,72
夏季,51
夏季,84
夏季,39
夏季,70
夏季,81
夏季,91
夏季,55
夏季,55
夏季,60
夏季,68
夏季,84
夏季,78
夏季,64
夏季,86
