数据集,特征,均值,标准差,最小值,最大值
训练集,AQI,77.36,27.07,22.0,141.0
训练集,PM2.5,41.79,20.24,10.0,91.0
训练集,PM10,97.85,47.37,16.0,214.5
训练集,NO2,44.84,18.12,10.0,90.5
训练集,SO2,16.78,9.94,3.0,38.0
训练集,CO,1.1,0.62,0.26,4.25
训练集,O3,55.97,23.53,7.0,133.0
验证集,AQI,71.63,27.22,27.0,141.0
验证集,PM2.5,40.28,18.69,13.0,91.0
验证集,PM10,90.27,48.79,19.0,214.5
验证集,NO2,40.07,18.83,10.0,90.5
验证集,SO2,13.98,8.27,4.0,38.0
验证集,CO,0.86,0.45,0.31,2.78
验证集,O3,59.96,27.26,11.0,119.0
测试集,AQI,71.02,25.62,24.0,141.0
测试集,PM2.5,39.89,19.11,13.0,91.0
测试集,PM10,82.59,46.88,18.0,214.5
测试集,NO2,34.82,17.93,6.0,90.5
测试集,SO2,12.21,5.64,4.0,38.0
测试集,CO,0.72,0.41,0.26,2.68
测试集,O3,62.4,25.52,11.0,133.0
